,시도코드,시도,시군구코드,시군구, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류,위도(x),경도(y),점수매기기
75,31,울산광역시,31170, 동구,202302,"151,185","15,476","23,533",0.658,3,35.5259,129.4216,55.21422797089733
76,31,울산광역시,31140, 남구,202302,"310,269","36,310","44,864",0.809,3,35.5388,129.316,43.00727566693613
77,31,울산광역시,31200, 북구,202302,"218,696","25,175","21,862",1.152,2,35.5805,129.3552,15.278900565885213
78,36,세종특별자치시,36110, 세종특별자치시,202302,"385,285","49,665","40,644",1.222,2,36.4801,127.2889,9.62004850444624
79,11,서울특별시,11320, 도봉구,202302,"310,853","37,928","67,701",0.56,3,37.6688,127.0471,63.13662085691188
80,11,서울특별시,11305, 강북구,202302,"293,119","37,359","66,602",0.561,3,37.6396,127.0257,63.05578011317704
81,11,서울특별시,11350, 노원구,202302,"502,820","63,798","92,747",0.688,3,37.655,127.0778,52.789005658852076
82,11,서울특별시,11260, 중랑구,202302,"385,129","54,850","75,529",0.726,3,37.6065,127.0927,49.717057396928055
83,11,서울특별시,11470, 양천구,202302,"440,042","53,908","72,936",0.739,3,37.5271,126.8561,48.6661277283751
84,11,서울특별시,11380, 은평구,202302,"465,627","66,830","89,976",0.743,3,37.6027,126.9288,48.34276475343574
85,11,서울특별시,11530, 구로구,202302,"395,422","57,196","75,172",0.761,3,37.4954,126.8581,46.88763136620857
86,11,서울특별시,11110, 종로구,202302,"141,433","21,314","27,878",0.765,3,37.5729,126.9794,46.5642683912692
87,11,서울특별시,11140, 중구,202302,"120,555","19,370","24,786",0.781,3,37.5641,126.997,45.270816491511724
88,11,서울특별시,11290, 성북구,202302,"430,170","62,806","77,857",0.807,3,37.6109,127.0273,43.16895715440582
89,11,서울특별시,11230, 동대문구,202302,"337,293","52,674","64,740",0.814,3,37.5744,127.0395,42.60307194826193
90,11,서울특별시,11740, 강동구,202302,"460,280","64,496","79,048",0.816,3,37.5499,127.1465,42.44139046079224
91,11,서울특별시,11545, 금천구,202302,"229,395","35,314","42,693",0.827,3,37.4574,126.8956,41.552142279708974
92,11,서울특별시,11410, 서대문구,202302,"308,194","48,621","55,952",0.869,3,37.5794,126.9368,38.156831042845596
93,11,서울특별시,11650, 서초구,202302,"405,126","56,450","62,882",0.898,3,37.4761,127.0376,35.812449474535164
94,11,서울특별시,11590, 동작구,202302,"379,622","62,411","68,158",0.916,3,37.4979,126.9828,34.357316087308
95,11,서울특별시,11680, 강남구,202302,"529,962","75,888","82,198",0.923,3,37.5184,127.0473,33.7914308811641
96,11,서울특별시,11170, 용산구,202302,"218,175","35,950","38,729",0.928,3,37.5311,126.9814,33.38722716248989
97,11,서울특별시,11200, 성동구,202302,"280,474","44,578","47,851",0.932,3,37.5509,127.0407,33.06386418755052
98,11,서울특별시,11500, 강서구,202302,"568,666","93,252","97,829",0.953,3,37.5509,126.8497,31.366208569118843
99,11,서울특별시,11710, 송파구,202302,"658,868","100,793","104,475",0.965,3,37.5048,127.1147,30.39611964430073
100,11,서울특별시,11560, 영등포구,202302,"376,410","65,941","63,957",1.031,2,37.5265,126.8962,25.06063055780114
101,11,서울특별시,11215, 광진구,202302,"337,071","59,372","54,210",1.095,2,37.5388,127.0827,19.886822958771223
102,11,서울특별시,11620, 관악구,202302,"487,430","95,755","82,435",1.162,2,37.4654,126.9436,14.470493128536788
103,11,서울특별시,11440, 마포구,202302,"365,447","66,860","55,975",1.194,2,37.5662,126.9018,11.883589329021829
104,26,부산광역시,26200, 영도구,202302,"107,783","9,172","32,919",0.279,4,35.0911,129.0655,85.85286984640258
105,26,부산광역시,26170, 동구,202302,"85,988","9,710","24,437",0.397,4,35.1299,129.049,76.31366208569119
106,26,부산광역시,26140, 서구,202302,"104,952","11,488","28,604",0.402,4,35.1159,129.0225,75.90945836701698
107,26,부산광역시,26110, 중구,202302,"39,711","5,089","11,550",0.441,4,35.1068,129.0312,72.75666936135814
108,26,부산광역시,26410, 금정구,202302,"220,223","24,245","52,505",0.462,4,35.2549,129.089,71.05901374292645
109,26,부산광역시,26380, 사하구,202302,"302,091","32,342","66,407",0.487,4,35.1042,128.9733,69.03799514955539
110,26,부산광역시,26290, 남구,202302,"256,371","28,437","57,346",0.496,4,35.1324,129.1037,68.3104284559418
111,26,부산광역시,26530, 사상구,202302,"203,685","22,913","43,447",0.527,3,35.1627,128.9783,65.80436540016169
112,26,부산광역시,26470, 연제구,202302,"203,048","23,919","44,371",0.539,3,35.1802,129.0814,64.83427647534357
113,26,부산광역시,26350, 해운대구,202302,"385,516","41,962","76,865",0.546,3,35.1631,129.1607,64.26839126919968
114,26,부산광역시,26320, 북구,202302,"278,059","30,882","56,344",0.548,3,35.2164,129.0087,64.10670978172999
115,26,부산광역시,26260, 동래구,202302,"273,351","30,644","55,421",0.553,3,35.2048,129.0835,63.70250606305577
116,26,부산광역시,26500, 수영구,202302,"175,179","23,963","41,047",0.584,3,35.1576,129.114,61.19644300727567
117,26,부산광역시,26710, 기장군,202302,"179,328","19,316","31,615",0.611,3,35.3228,129.2262,59.01374292643493
118,26,부산광역시,26230, 부산진구,202302,"357,345","50,351","76,362",0.659,3,35.1631,129.0516,55.13338722716249
119,26,부산광역시,26440, 강서구,202302,"142,886","17,391","19,179",0.907,3,35.2111,128.9788,35.08488278092158
120,30,대전광역시,30140, 중구,202302,"226,421","25,767","49,195",0.524,3,36.3256,127.4266,66.04688763136622
121,30,대전광역시,30110, 동구,202302,"219,610","24,692","46,224",0.534,3,36.3515,127.4239,65.2384801940178
122,30,대전광역시,30230, 대덕구,202302,"171,946","18,756","31,579",0.594,3,36.368,127.405,60.38803556992725
123,30,대전광역시,30170, 서구,202302,"469,709","65,491","68,607",0.955,3,36.3503,127.3662,31.204527081649154
