시도코드,CTP_KOR_NM,SIG_CD,시군구, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류,위도(x),경도(y)
47,경상북도,47750, 청송군,202302,"24,245","1,172","9,860",0.119,5,36.43310,129.05140
47,경상북도,47820, 청도군,202302,"41,664","2,084","16,981",0.123,5,35.65160,128.71890
47,경상북도,47760, 영양군,202302,"15,931",816,"6,410",0.127,5,36.66630,129.11990
47,경상북도,47770, 영덕군,202302,"34,560","1,827","14,053",0.13,5,36.41870,129.37420
47,경상북도,47840, 성주군,202302,"42,570","2,422","15,082",0.161,5,35.91920,128.27530
47,경상북도,47830, 고령군,202302,"30,319","1,765","10,566",0.167,5,35.71590,128.24350
47,경상북도,47250, 상주시,202302,"94,698","6,068","32,138",0.189,5,36.40740,128.15650
47,경상북도,47280, 문경시,202302,"69,861","4,901","22,973",0.213,4,36.59110,128.19350
47,경상북도,47930, 울진군,202302,"46,849","3,294","14,361",0.229,4,37.03920,129.40940
47,경상북도,47900, 예천군,202302,"55,697","4,224","17,708",0.239,4,36.64120,128.44050
47,경상북도,47940, 울릉군,202302,"8,986",610,"2,520",0.242,4,37.48350,130.88990
47,경상북도,47210, 영주시,202302,"100,499","7,287","29,899",0.244,4,36.82410,128.62300
47,경상북도,47230, 영천시,202302,"100,962","7,575","31,034",0.244,4,35.97540,128.93810
47,경상북도,47170, 안동시,202302,"154,138","13,643","41,512",0.329,4,36.56810,128.72930
47,경상북도,47130, 경주시,202302,"248,893","21,160","62,332",0.339,4,35.85600,129.22400
47,경상북도,47150, 김천시,202302,"138,980","12,250","34,972",0.35,4,36.13370,128.11980
47,경상북도,47111, 포항시,202302,"495,229","46,748","99,567",0.47,4,36.01940,129.34340
47,경상북도,47850, 칠곡군,202302,"112,074","10,136","20,159",0.503,3,35.98910,128.40770
47,경상북도,47290, 경산시,202302,"267,490","30,470","50,123",0.608,3,35.82790,128.73730
47,경상북도,47190, 구미시,202302,"407,387","49,721","45,776",1.086,2,36.12220,128.34570
48,경상남도,48890, 합천군,202302,"41,979","2,007","17,776",0.113,5,35.56580,128.16790
48,경상남도,48840, 남해군,202302,"41,417","2,077","16,728",0.124,5,34.83390,127.89470
48,경상남도,48860, 산청군,202302,"34,103","1,699","13,610",0.125,5,35.41160,127.87850
48,경상남도,48720, 의령군,202302,"25,899","1,351","10,330",0.131,5,35.31920,128.27120
48,경상남도,48850, 하동군,202302,"42,283","2,135","16,199",0.132,5,35.06710,127.75560
48,경상남도,48870, 함양군,202302,"37,446","2,164","13,810",0.157,5,35.27740,128.42030
48,경상남도,48820, 고성군,202302,"50,103","2,840","17,109",0.166,5,35.66740,128.23370
48,경상남도,48740, 창녕군,202302,"58,154","3,374","20,217",0.167,5,35.54310,128.50070
48,경상남도,48270, 밀양시,202302,"102,682","7,028","32,647",0.215,4,35.49190,128.74720
48,경상남도,48730, 함안군,202302,"61,206","4,001","17,471",0.229,4,35.27740,128.42030
48,경상남도,48880, 거창군,202302,"60,324","4,337","18,117",0.239,4,35.68250,127.91920
48,경상남도,48240, 사천시,202302,"109,153","8,592","26,501",0.324,4,35.00350,128.06910
48,경상남도,48220, 통영시,202302,"122,172","9,435","27,730",0.34,4,34.84970,128.43100
48,경상남도,48170, 진주시,202302,"343,167","37,773","64,858",0.582,3,35.19980,128.08410
48,경상남도,48120, 창원시,202302,"1,018,699","108,738","172,005",0.632,3,35.23720,128.68110
48,경상남도,48330, 양산시,202302,"353,744","38,465","56,268",0.684,3,35.33810,129.02670
48,경상남도,48310, 거제시,202302,"235,638","22,591","31,593",0.715,3,34.88820,128.61000
48,경상남도,48250, 김해시,202302,"534,212","58,511","70,985",0.824,3,35.22790,128.87380
41,경기도,41800, 연천군,202302,"41,830","3,343","12,440",0.269,4,38.09660,127.06540
41,경기도,41820, 가평군,202302,"62,069","4,867","17,988",0.271,4,37.83170,127.50960
41,경기도,41830, 양평군,202302,"122,478","9,381","34,613",0.271,4,37.49140,127.48710
41,경기도,41670, 여주시,202302,"113,243","10,367","27,519",0.377,4,37.29730,127.62810
41,경기도,41650, 포천시,202302,"145,927","13,340","33,243",0.401,4,37.89440,127.20070
41,경기도,41250, 동두천시,202302,"90,883","9,094","20,607",0.441,4,37.90180,127.06000
41,경기도,41550, 안성시,202302,"188,634","19,740","36,671",0.538,3,37.00500,127.26460
41,경기도,41630, 양주시,202302,"248,568","27,455","42,551",0.645,3,37.78540,127.04510
