,__肄__,__,_뎔援ъ_,_뎔援, __ ,珥__援,20-39 ъ_멸뎄,65 댁_ 멸뎄,吏諛⑹_硫몄__,吏諛⑹_硫몄___瑜,__(x),寃쎈_(y),__留ㅺ린湲
83,11,__밸_,11470, __援,202302,"440,042","53,908","72,936",0.739,3,37.5271,126.8561,51.33387227
84,11,__밸_,11380, _뎄,202302,"465,627","66,830","89,976",0.743,3,37.6027,126.9288,51.65723525
85,11,__밸_,11530, 援щ_援,202302,"395,422","57,196","75,172",0.761,3,37.4954,126.8581,53.11236863
86,11,__밸_,11110, 醫__援,202302,"141,433","21,314","27,878",0.765,3,37.5729,126.9794,53.43573161
87,11,__밸_,11140, 以_뎄,202302,"120,555","19,370","24,786",0.781,3,37.5641,126.997,54.72918351
88,11,__밸_,11290, 깅_援,202302,"430,170","62,806","77,857",0.807,3,37.6109,127.0273,56.83104285
89,11,__밸_,11230, _臾멸뎄,202302,"337,293","52,674","64,740",0.814,3,37.5744,127.0395,57.39692805
90,11,__밸_,11740, 媛__援,202302,"460,280","64,496","79,048",0.816,3,37.5499,127.1465,57.55860954
91,11,__밸_,11545, 湲__援,202302,"229,395","35,314","42,693",0.827,3,37.4574,126.8956,58.44785772
92,11,__밸_,11410, _臾멸뎄,202302,"308,194","48,621","55,952",0.869,3,37.5794,126.9368,61.84316896
93,11,__밸_,11650, __援,202302,"405,126","56,450","62,882",0.898,3,37.4761,127.0376,64.18755053
94,11,__밸_,11590, __援,202302,"379,622","62,411","68,158",0.916,3,37.4979,126.9828,65.64268391
95,11,__밸_,11680, 媛__援,202302,"529,962","75,888","82,198",0.923,3,37.5184,127.0473,66.20856912
96,11,__밸_,11170, ⑹_援,202302,"218,175","35,950","38,729",0.928,3,37.5311,126.9814,66.61277284
97,11,__밸_,11200, 깅_援,202302,"280,474","44,578","47,851",0.932,3,37.5509,127.0407,66.93613581
98,11,__밸_,11500, 媛__援,202302,"568,666","93,252","97,829",0.953,3,37.5509,126.8497,68.63379143
99,11,__밸_,11710, ≫_援,202302,"658,868","100,793","104,475",0.965,3,37.5048,127.1147,69.60388036
